home_parkrun,home_event,prev_event_no,prev_date,next_event_no,next_date,cancellation_date,runner_id,gap_week_parkrun,gap_week_short
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7865783,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,7899104,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,791601,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8232393,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8273637,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8273750,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8324710,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8373,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8380127,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,846918,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8502557,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8570060,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8696817,Gateshead,gateshead
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8718549,Gateshead,gateshead
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8745778,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8745808,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,8843773,Stretford,stretford
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,910998,South Manchester,southmanchester
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,9146297,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,9181278,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,9357867,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,9683375,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,9768416,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,9902803,Did not run,NA
Alexandra,alexandra,158,2024-09-07,159,2024-09-21,2024-09-14,9908826,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,10043482,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,10044117,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,101099,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,10160210,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,10186649,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,10219946,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1022295,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1034223,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,113953,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1182607,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,121768,Cheadle Hulme,cheadlehulme
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1246120,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1323287,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,136487,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,140794,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,149184,Wythenshawe,wythenshawe
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1501151,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1686681,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1754571,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,186980,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1889644,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,19537,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,1969123,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,2085634,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,225794,Did not run,NA
