home_parkrun,gap_week_parkrun,runners
Burnage,Peel,2
Burnage,Worsley Woods,2
Burnage,Bramhall Park,1
Burnage,Burnham and Highbridge,1
Burnage,Bushy Park,1
Burnage,Cassiobury,1
Burnage,Clacton Seafront,1
Burnage,Hyde,1
Burnage,Keswick,1
Burnage,Monsal Trail,1
Burnage,Ormeau,1
Burnage,Pavilion Gardens,1
Burnage,Volksgarten,1
Chadderton Hall,Did not run,62
Chadderton Hall,Oldham,7
Chadderton Hall,Heaton Park,4
Chadderton Hall,Alexandra,2
Chadderton Hall,Hafan Pwllheli,2
Chadderton Hall,Bolton,1
Chadderton Hall,Burnage,1
Chadderton Hall,Crewe,1
Chadderton Hall,Eglinton,1
Chadderton Hall,Peel,1
Chadderton Hall,Philips Park,1
Chadderton Hall,Phoenix,1
Chadderton Hall,Temple Newsam,1
Cheadle Hulme,Did not run,14
Clarence,Did not run,34
Clarence,Heaton Park,4
Clarence,Bushy Park,1
Clarence,Hyndburn,1
Clarence,Tawd Valley,1
Fletcher Moss,Did not run,246
Fletcher Moss,Wythenshawe,13
Fletcher Moss,South Manchester,7
Fletcher Moss,Stretford,6
Fletcher Moss,Alexandra,5
Fletcher Moss,Burnage,3
Fletcher Moss,Sale Water,3
Fletcher Moss,Cheadle Hulme,2
Fletcher Moss,Woodbank,2
Fletcher Moss,Alderley Park,1
Fletcher Moss,Bramhall Park,1
Fletcher Moss,East Brighton,1
Fletcher Moss,Gateshead,1
Fletcher Moss,Gunpowder,1
Fletcher Moss,Homewood,1
Fletcher Moss,Leazes,1
Fletcher Moss,Newborough Forest,1
Fletcher Moss,Phoenix,1
Fletcher Moss,Witton,1
Fletcher Moss,Worcester,1
Haigh Woodland,Did not run,250
Haigh Woodland,Tawd Valley,7
Haigh Woodland,Heaton Park,6
Haigh Woodland,Pennington Flash,6
Haigh Woodland,Bolton,4
Haigh Woodland,Isabel Trail,2
Haigh Woodland,Ormskirk,2
Haigh Woodland,Battersea,1
Haigh Woodland,Holyrood,1
Haigh Woodland,Hyde,1
Haigh Woodland,Sheringham,1
Haigh Woodland,Sherwood Pines,1
Haigh Woodland,St Helens,1
Haigh Woodland,Widnes,1
Haigh Woodland,York,1
Heaton Park,Did not run,918
Heaton Park,Peel,84
Heaton Park,Clarence,67
Heaton Park,Worsley Woods,55
Heaton Park,Chadderton Hall,40
Heaton Park,Bolton,33
Heaton Park,Oldham,26
Heaton Park,Alexandra,22
Heaton Park,Philips Park,18
Heaton Park,Stretford,16
Heaton Park,Watergrove,16
Heaton Park,Sale Water,12
Heaton Park,Burnley,10
Heaton Park,Hyde,9
Heaton Park,Burnage,6
Heaton Park,Haigh Woodland,6
Heaton Park,South Manchester,6
Heaton Park,Woodbank,5
Heaton Park,Delamere,4
Heaton Park,Fountains Abbey,4
Heaton Park,Park in the Past,3
Heaton Park,Skipton,3
Heaton Park,St Helens,3
Heaton Park,Stamford Park,3
Heaton Park,Worden,3
Heaton Park,Wythenshawe,3
Heaton Park,Cheadle Hulme,2
Heaton Park,Cross Flatts,2
Heaton Park,Fletcher Moss,2
Heaton Park,Huddersfield,2
Heaton Park,Lancing Beach Green,2
Heaton Park,Pennington Flash,2
Heaton Park,Penrhyn,2
Heaton Park,Potternewton,2
Heaton Park,Sutton Manor,2
Heaton Park,Warrington,2
Heaton Park,York,2
Heaton Park,Ashton Court,1
Heaton Park,Bexley,1
Heaton Park,Bowling Park,1
Heaton Park,Bushy Park,1
Heaton Park,Congleton,1
Heaton Park,Crosby,1
Heaton Park,Croxteth Hall,1
Heaton Park,Druridge Bay,1
Heaton Park,East Park,1
Heaton Park,Endcliffe,1
Heaton Park,Exeter Riverside,1
Heaton Park,Fell Foot,1
Heaton Park,Fulbourn Hospital,1
Heaton Park,Harrogate,1
Heaton Park,Lytham Hall,1
Heaton Park,Monsal Trail,1
Heaton Park,Morecambe Prom,1
Heaton Park,Muncaster Castle,1
Heaton Park,North Yorkshire Water Park,1
Heaton Park,Ormskirk,1
Heaton Park,Pavilion Gardens,1
Heaton Park,Preston,1
Heaton Park,Princes,1
Heaton Park,Riverside,1
Heaton Park,Roberts Park,1
Heaton Park,Rothay Park,1
Heaton Park,Roundhay,1
Heaton Park,Seaton,1
Heaton Park,Shepton Mallet,1
Heaton Park,Shipley Country,1
Heaton Park,Talkin Tarn Country Park,1
Heaton Park,Town Moor,1
Heaton Park,Tubbercurry Trail,1
Heaton Park,Victoria Dock,1
Heaton Park,Weymouth,1
Heaton Park,Witton,1
Hyde,Did not run,194
Hyde,Stamford Park,7
Hyde,Woodbank,6
Hyde,Stretford,5
Hyde,Wythenshawe,3
Hyde,Alexandra,1
Hyde,Blaise Castle,1
Hyde,Marple,1
Hyde,Riverside,1
Hyde,Whitley Bay,1
Marple,Did not run,130
Marple,Woodbank,15
Marple,Hyde,6
Marple,Lyme Park,5
Marple,Glossop,3
Marple,Alexandra,2
Marple,Alderley Park,1
Marple,Bramhall Park,1
Marple,Clitheroe Castle,1
Marple,Crichton,1
Marple,Heaton Park,1
Marple,Lingwood,1
Marple,Morden,1
Marple,Pavilion Gardens,1
Marple,Pennington Flash,1
Marple,Penrith,1
Marple,South Manchester,1
Marple,Warrington,1
Oldham,Did not run,152
Oldham,Chadderton Hall,19
Oldham,Heaton Park,7
Oldham,Hyde,7
Oldham,Stamford Park,6
Oldham,Philips Park,2
Oldham,Burnage,1
Oldham,Clarence,1
Oldham,Dewsbury,1
Oldham,Haga,1
Oldham,Leazes,1
Oldham,Sandringham,1
Oldham,Stretford,1
Oldham,Watergrove,1
Peel,Did not run,479
Peel,Heaton Park,43
Peel,Worsley Woods,33
Peel,Alexandra,25
Peel,Stretford,18
Peel,Fletcher Moss,12
Peel,South Manchester,8
Peel,Pennington Flash,5
Peel,Clarence,4
Peel,Wilmslow,4
Peel,Harrogate,3
Peel,Philips Park,3
Peel,Sale Water,3
Peel,Wythenshawe,3
Peel,Bowling Park,2
Peel,Burnley,2
Peel,Marple,2
Peel,Mortimer Forest,2
Peel,Ormskirk,2
Peel,Pendle,2
Peel,Roundhay,2
Peel,Abingdon,1
Peel,Birkenhead,1
Peel,Bushy Park,1
Peel,Cheadle Hulme,1
Peel,Chelmsford Central,1
Peel,Druridge Bay,1
Peel,Erddig,1
Peel,Exeter Riverside,1
Peel,Haigh Woodland,1
Peel,Hanley,1
Peel,Highbury Fields,1
Peel,Irchester Country,1
Peel,"Jubilee, Bedford",1
Peel,Lanark Moor,1
Peel,Macclesfield,1
Peel,Markeaton,1
Peel,Nant y Pandy,1
Peel,Newborough Forest,1
Peel,Oldham,1
Peel,Pavilion Gardens,1
Peel,Richmond Park,1
Peel,Royal Tunbridge Wells,1
Peel,Tawd Valley,1
Peel,The Cinder Track,1
Peel,Valentines,1
Peel,Walsall Arboretum,1
Peel,Warrington,1
Peel,Watergrove,1
Peel,Widnes,1
Peel,Witney,1
Pennington Flash,Did not run,102
Pennington Flash,St Helens,10
Pennington Flash,Warrington,10
Pennington Flash,Haigh Woodland,6
Pennington Flash,Worsley Woods,4
Pennington Flash,"Kingsway Park, Urmston",3
Pennington Flash,Peel,3
Pennington Flash,Preston,3
Pennington Flash,Dunstable Downs,2
Pennington Flash,Ormskirk,2
Pennington Flash,Wythenshawe,2
Pennington Flash,Battersea,1
Pennington Flash,Fleetwood Promenade,1
Pennington Flash,Grangemoor,1
Pennington Flash,Hasenheide,1
Pennington Flash,Heaton Park,1
Pennington Flash,Ruthin Memorial Playing Fields,1
Pennington Flash,Tawd Valley,1
Pennington Flash,York,1
Philips Park,Did not run,64
Philips Park,Alexandra,4
Philips Park,Oldham,3
Philips Park,Cheadle Hulme,2
Philips Park,Fletcher Moss,2
Philips Park,Macclesfield,2
Philips Park,Milford Waterfront,2
Philips Park,Poolbeg,2
Philips Park,South Manchester,2
Philips Park,Bramhall Park,1
Philips Park,Burnage,1
Philips Park,Chadderton Hall,1
Philips Park,Coventry,1
Philips Park,Five Arches,1
Philips Park,"Kingsway Park, Urmston",1
Philips Park,Markeaton,1
Philips Park,Nonsuch,1
Philips Park,Peel,1
Philips Park,Pennington Flash,1
Philips Park,Stamford Park,1
Philips Park,Warrington,1
Philips Park,Wyre Forest,1
Philips Park,Wythenshawe,1
Philips Park,"Y Promenad, Llandrillo-yn-Rhos",1
Sale Water,Did not run,214
Sale Water,Wythenshawe,54
Sale Water,Stretford,16
Sale Water,Heaton Park,10
Sale Water,Alexandra,9
Sale Water,Woodbank,6
Sale Water,Burnage,5
Sale Water,South Manchester,5
Sale Water,Northala Fields,3
Sale Water,Bramhall Park,2
Sale Water,Dulwich,2
Sale Water,Greenfield Valley,2
Sale Water,Morecambe Prom,2
Sale Water,Newborough Forest,2
Sale Water,Warrington,2
Sale Water,Watergrove,2
Sale Water,Worsley Woods,2
Sale Water,York,2
Sale Water,Alderley Park,1
Sale Water,California Country,1
Sale Water,Congleton,1
Sale Water,Fletcher Moss,1
Sale Water,Hyde,1
Sale Water,Keswick,1
Sale Water,Lytham Hall,1
Sale Water,Marple,1
Sale Water,Montrose,1
Sale Water,Pavilion Gardens,1
Sale Water,Peel,1
Sale Water,Street,1
South Manchester,Did not run,355
South Manchester,Alexandra,56
South Manchester,Fletcher Moss,22
South Manchester,Burnage,18
South Manchester,Stretford,16
South Manchester,Peel,13
South Manchester,Heaton Park,12
South Manchester,Philips Park,9
South Manchester,Wythenshawe,7
South Manchester,Cheadle Hulme,6
South Manchester,Sale Water,6
South Manchester,Woodbank,6
South Manchester,Alderley Park,5
South Manchester,Clare Castle,2
South Manchester,Hyde,2
South Manchester,Keswick,2
South Manchester,Marple,2
South Manchester,Millom,2
South Manchester,Oldham,2
South Manchester,Pennington Flash,2
South Manchester,Princes,2
South Manchester,Town Moor,2
South Manchester,Widnes,2
South Manchester,Worsley Woods,2
South Manchester,Bramhall Park,1
South Manchester,Chasewater,1
South Manchester,Crosby,1
South Manchester,Delamere,1
South Manchester,Dolgellau,1
South Manchester,Haigh Woodland,1
South Manchester,Hilly Fields,1
South Manchester,"Kingsway Park, Urmston",1
South Manchester,Knowsley,1
South Manchester,Llyn Llech Owain,1
South Manchester,Newborough Forest,1
South Manchester,Pollok,1
South Manchester,Poolbeg,1
South Manchester,Ruthin Memorial Playing Fields,1
South Manchester,The Cinder Track,1
South Manchester,Tramore Valley,1
South Manchester,Worcester Pitchcroft,1
South Manchester,Worden,1
South Manchester,York,1
Stamford Park,Did not run,132
Stamford Park,Hyde,28
Stamford Park,Oldham,7
Stamford Park,Alexandra,2
Stamford Park,Dalby Forest,2
Stamford Park,Belton House,1
Stamford Park,Chadderton Hall,1
Stamford Park,Clapham Common,1
Stamford Park,Clarence,1
Stamford Park,Conwy,1
Stamford Park,Glossop,1
Stamford Park,Lancaster,1
Stamford Park,Whitekirk Hill,1
Stamford Park,Wythenshawe,1
Stamford Park,"Y Promenad, Llandrillo-yn-Rhos",1
Stretford,Did not run,279
Stretford,Alexandra,39
Stretford,Sale Water,30
Stretford,Wythenshawe,12
Stretford,Peel,7
Stretford,Worsley Woods,7
Stretford,Fletcher Moss,6
Stretford,South Manchester,5
Stretford,Fell Foot,3
Stretford,Heaton Park,3
Stretford,Burnage,2
Stretford,Chester,2
Stretford,Delamere,2
Stretford,Lloyd,2
Stretford,Widnes,2
Stretford,Wilmslow,2
Stretford,Boston,1
Stretford,Bressay,1
Stretford,Chalkwell Beach,1
Stretford,Druridge Bay,1
Stretford,Glossop,1
Stretford,Halifax,1
Stretford,Hasenheide,1
Stretford,Keswick,1
Stretford,Oldham,1
Stretford,Phoenix,1
Stretford,Trentham Gardens,1
Watergrove,Did not run,43
Watergrove,Heaton Park,3
Watergrove,South Manchester,2
Watergrove,Chadderton Hall,1
Watergrove,Cross Flatts,1
Watergrove,Oldham,1
Watergrove,Worcester,1
Woodbank,Did not run,188
Woodbank,Hyde,16
Woodbank,Bramhall Park,10
Woodbank,Marple,7
Woodbank,Burnage,5
Woodbank,Wythenshawe,5
Woodbank,Fletcher Moss,4
Woodbank,Alderley Park,3
Woodbank,Cheadle Hulme,3
Woodbank,Heaton Park,3
Woodbank,Peel,2
Woodbank,Worsley Woods,2
Woodbank,Alexandra,1
Woodbank,Knowsley,1
Woodbank,Lyme Park,1
Woodbank,Ormskirk,1
Woodbank,Sale Water,1
Woodbank,Stamford Park,1
Woodbank,Stretford,1
Worsley Woods,Did not run,398
Worsley Woods,Peel,40
Worsley Woods,Heaton Park,29
Worsley Woods,Wythenshawe,9
Worsley Woods,Stretford,7
Worsley Woods,Pennington Flash,6
Worsley Woods,"Kingsway Park, Urmston",5
Worsley Woods,Sale Water,4
Worsley Woods,Zuiderpark,4
Worsley Woods,Sutton Manor,3
Worsley Woods,Cheadle Hulme,2
Worsley Woods,Clarence,2
Worsley Woods,Haigh Woodland,2
Worsley Woods,Hyndburn,2
Worsley Woods,Alexandra,1
Worsley Woods,Blackpool,1
Worsley Woods,Bowling Park,1
Worsley Woods,Burgess,1
Worsley Woods,Conkers,1
Worsley Woods,Conwy,1
Worsley Woods,Fletcher Moss,1
Worsley Woods,Fountains Abbey,1
Worsley Woods,Gdansk,1
Worsley Woods,Morecambe Prom,1
Worsley Woods,Newtown,1
Worsley Woods,Pavilion Gardens,1
Worsley Woods,Preston,1
Worsley Woods,Rothay Park,1
Worsley Woods,Southport,1
Worsley Woods,St Albans,1
Worsley Woods,Stevenage,1
Worsley Woods,Tramore Valley,1
Worsley Woods,Warrington,1
Worsley Woods,Woodbank,1
Worsley Woods,Worden,1
Worsley Woods,"Y Promenad, Llandrillo-yn-Rhos",1
Wythenshawe,Did not run,138
Wythenshawe,Sale Water,22
Wythenshawe,Stretford,19
Wythenshawe,Alderley Park,6
Wythenshawe,Alexandra,6
Wythenshawe,Fletcher Moss,3
Wythenshawe,Burnage,2
Wythenshawe,Cheadle Hulme,2
Wythenshawe,South Manchester,2
Wythenshawe,Wilmslow,2
Wythenshawe,Blaise Castle,1
Wythenshawe,Littlehampton Prom,1
Wythenshawe,Peel,1
Wythenshawe,Sandwell Valley,1
Wythenshawe,Sutton Park,1
Wythenshawe,Teignmouth Promenade,1
Wythenshawe,Watergrove,1
